Date,bitcoin_time,bitcoin_high,bitcoin_low,bitcoin_open,bitcoin_volumefrom,bitcoin_volumeto,bitcoin_close,bitcoin_conversionType,bitcoin_top_tier_volume_quote,bitcoin_top_tier_volume_base,bitcoin_top_tier_volume_total,bitcoin_cccagg_volume_quote,bitcoin_cccagg_volume_base,bitcoin_cccagg_volume_total,bitcoin_total_volume_quote,bitcoin_total_volume_base,bitcoin_total_volume_total,bitcoin_volume,S&P 500 Financials.csv_Open,S&P 500 Financials.csv_High,S&P 500 Financials.csv_Low,S&P 500 Financials.csv_Close,S&P 500 Financials.csv_Volume,S&P 500 Financials.csv_Dividends,S&P 500 Financials.csv_Stock Splits,S&P 500 Financials.csv_Capital Gains
2018-07-02,2018.7.2,6673.71,5537.86,6342.69,73069.19,465915661.2,6615.66,direct,1350480543.0,1022805448.0,2373286057.0,1898307999.0,1621820118.0,3520128117.0,3867547716.0,5029170219.0,8896717869.0,7518615357.0,23.44908273764053,23.769205570537807,23.43129766468015,23.760313034057617,66202800,0.0,0.0,0.0
2018-07-03,2018.7.3,6670.3,6473.48,6616.6,54662.02,356390899.0,6509.58,direct,1610292706.0,907597605.6,2517890312.0,2148916121.0,1484001711.0,3632917897.0,4378025190.0,4533031699.0,8911056889.0,7751652324.0,23.82256529770073,23.89370390692692,23.493548169980784,23.54690170288086,30717800,0.0,0.0,0.0
2018-07-05,2018.7.5,6691.32,6448.23,6589.77,63771.67,421189063.0,6534.81,direct,1184121491.0,982054056.8,2166175548.0,15188127246.0,1789325014.0,16977452260.0,17000671943.0,5860800090.0,22861471968.0,20699959268.0,23.67139074630589,23.724744268398894,23.520221020310807,23.60025215148925,40668500,0.0,0.0,0.0
2018-07-06,2018.7.6,6633.44,6458.14,6534.81,47259.68,310759733.1,6602.02,direct,1237728950.0,777441925.5,2015170876.0,1799179387.0,1867427175.0,3666606562.0,3661420016.0,5252729984.0,8914149999.0,6989548737.0,23.53800539480672,23.813668945475573,23.44908341957466,23.71585273742676,41285000,0.0,0.0,0.0
2018-07-09,2018.7.9,6803.1,6625.58,6707.46,48761.43,328316145.8,6668.84,direct,1092805805.0,739359819.4,1832165625.0,1610601818.0,2819385820.0,4429987572.0,3254987780.0,488808000000.0,492063000000.0,7778582391.0,23.84034477756561,24.284961436507565,23.813668863518988,24.258285522460938,73447400,0.0,0.0,0.0
2018-07-10,2018.7.10,6683.61,6277.23,6668.84,72513.31,470432142.7,6306.85,direct,1069086442.0,1021011216.0,2090097658.0,1547053150.0,2521369458.0,4068422609.0,3130910807.0,6889478254.0,10020389060.0,7443966036.0,24.27606624382121,24.35609736936101,24.098220617348804,24.16935920715332,51260600,0.0,0.0,0.0
2018-07-11,2018.7.11,6405.59,6293.68,6306.87,51054.67,327667754.4,6394.36,direct,1021445489.0,788487764.3,1809933190.0,1513928801.0,2287893695.0,3801822497.0,3072259399.0,6292230625.0,9364490024.0,6621034115.0,24.035973339379904,24.178250511744253,24.000403198249977,24.053756713867188,46023700,0.0,0.0,0.0
2018-07-12,2018.7.12,6394.93,6084.0,6394.36,65555.38,409078182.7,6253.6,direct,916820159.4,895531091.5,1812351188.0,1534419317.0,2463081231.0,3997500485.0,3158305387.0,6901178290.0,10059483677.0,7183822875.0,24.204929778577927,24.222714851609563,23.955945540446688,24.098222732543945,64876800,0.0,0.0,0.0
2018-07-13,2018.7.13,6349.21,6131.54,6253.66,50964.41,319802272.0,6229.83,direct,1072453647.0,726922169.0,1799375816.0,1877451846.0,2206510532.0,4083962378.0,3847756567.0,5794715934.0,9642472563.0,7368963885.0,24.00040674252831,24.07154533921593,23.74252996556491,23.991514205932617,64146900,0.0,0.0,0.0
2018-07-16,2018.7.16,6761.84,6349.83,6364.26,74798.53,494264915.9,6740.55,direct,1187484648.0,1190970389.0,2378455037.0,2084306939.0,2522747362.0,4607054301.0,4227703764.0,7485005933.0,11712709697.0,8165363819.0,24.062653412574875,24.43613147867152,24.04487003501064,24.418346405029297,55812000,0.0,0.0,0.0
